id,code,bic,name
l10n_es_partner.res_bank_es_1550,1550,ETICES21XXX,Banca Popolare Etica
res_bank_es_2417,2417,"",NOVACAIXAGALICI
res_bank_es_0030,0030,ESPCESMMXXX,BANESTO
res_bank_es_0161,0161,BKTRESM1XXX,DB-TRUST COMPAN
res_bank_es_0065,0065,BARCESMMXXX,BARCLAYS BANK
res_bank_es_0086,0086,NORTESMMXXX,BANIF
res_bank_es_2013,2013,CESCESBBXXX,"CATALUNYA BANC,"
res_bank_es_2096,2096,CSPAES2LXXX,Caja España
res_bank_es_2104,2104,CSSOES2SXXX,CAJA DE AHORROS DE SALAMANCA Y SORIA
res_bank_es_0071,0071,POPUESMMXXX,POPULAR ESPAÑOL
